order_id,order_date,order_status,customer_name,email,days_in_processing,order_value,alert_level
297,2024-11-16,Processing,Eric Olson,bellangela@example.org,45,1832.89,CRITICAL
1902,2024-11-19,Processing,Donna Williams,gregoryjohnson@example.org,42,3793.38,CRITICAL
2398,2024-11-22,Processing,Donna Williams,gregoryjohnson@example.org,39,2379.96,CRITICAL
186,2024-11-22,Processing,Wendy Lawson,ashleygamble@example.org,39,241.48,CRITICAL
2171,2024-11-24,Processing,Melissa Ward,ronald11@example.org,37,4552.44,CRITICAL
2674,2024-11-24,Processing,Elizabeth Davidson,marygrant@example.net,37,509.11,CRITICAL
336,2024-11-27,Processing,Joseph Rios,jennifersilva@example.org,34,994.92,CRITICAL
4218,2024-11-28,Processing,Robert Peters,jamescollier@example.com,33,725.49,CRITICAL
4240,2024-11-29,Processing,Mary Aguirre,tina69@example.net,32,263.96,CRITICAL
1624,2024-11-29,Processing,Wendy Lawson,ashleygamble@example.org,32,189.96,CRITICAL
2522,2024-11-29,Processing,Kristen Cox,wkelley@example.com,32,2469.98,CRITICAL
2574,2024-11-30,Processing,James Fox,james18@example.com,31,2540.49,CRITICAL
4816,2024-11-30,Processing,Catherine Taylor,huntchristine@example.com,31,2589.00,CRITICAL
1128,2024-12-02,Processing,Stephen Curry,omills@example.net,29,139.96,CRITICAL
3886,2024-12-06,Processing,Anthony Munoz,nelsonamanda@example.net,25,333.94,CRITICAL
1207,2024-12-06,Processing,Wayne Bates,katherinetaylor@example.org,25,2803.96,CRITICAL
3878,2024-12-06,Processing,Elizabeth Ortiz,rachelmorgan@example.org,25,783.85,CRITICAL
3020,2024-12-07,Processing,David Miller,waustin@example.net,24,13.58,CRITICAL
1910,2024-12-08,Processing,Tyler Boone,pittmanamanda@example.com,23,2407.87,CRITICAL
4673,2024-12-09,Processing,Gerald Reeves,cochrantammy@example.com,22,319.96,CRITICAL
314,2024-12-11,Processing,Amy James,swalters@example.net,20,1719.17,CRITICAL
2789,2024-12-11,Processing,Rachel Stanton,imcdonald@example.net,20,479.96,CRITICAL
2933,2024-12-13,Processing,David Holmes,wilsonjerry@example.net,18,2525.88,CRITICAL
1791,2024-12-15,Processing,Patrick Reilly,kellypowell@example.net,16,480.42,CRITICAL
3711,2024-12-17,Processing,Russell Smith,jamiegoodwin@example.org,14,257.46,CRITICAL
3110,2024-12-17,Processing,Holly Jensen,martin38@example.org,14,854.97,CRITICAL
2899,2024-12-17,Processing,Jerry Mckinney,williamwelch@example.com,14,1593.44,CRITICAL
4388,2024-12-18,Processing,Erica Terry,josegibson@example.net,13,4035.92,CRITICAL
4569,2024-12-18,Processing,Mary Wiggins,johnbowen@example.org,13,3648.91,CRITICAL
2557,2024-12-19,Processing,Tony Jones,bellsteven@example.org,12,125.98,CRITICAL
4840,2024-12-21,Processing,John Ramos,xhart@example.org,10,514.80,CRITICAL
1114,2024-12-23,Processing,Julia Price,davidharris@example.com,8,1191.92,CRITICAL
1680,2024-12-23,Processing,Alex Browning,andrealittle@example.org,8,322.90,CRITICAL
603,2024-12-23,Processing,Christopher Mcdowell,lee77@example.net,8,299.68,CRITICAL
4732,2024-12-24,Processing,Jeffrey Anderson,jeremiahmiller@example.org,7,1429.96,WARNING
805,2024-12-25,Processing,Heidi Baker,xkelly@example.com,6,523.92,WARNING
2858,2024-12-25,Processing,Samantha George,xsmith@example.com,6,637.38,WARNING
2482,2024-12-27,Processing,Robert Estes,lisapeck@example.net,4,1993.41,WARNING
