customer_segment,customer_name,lifetime_value,rank_in_segment,dense_rank_in_segment,quartile
Silver,Jose Spencer,3041.23,195,195,4
Silver,Jacob Yoder,2869.77,196,196,4
Silver,Sierra Wilson,2776.64,197,197,4
Silver,Diane Hudson,2556.06,198,198,4
Silver,Todd Kim,2452.78,199,199,4
Silver,Charles Smith,2337.96,200,200,4
Silver,Donald Horne,2262.44,201,201,4
Silver,Timothy Gonzales,1808.32,202,202,4
Silver,Joseph Olson,1465.67,203,203,4
Silver,Katie Jordan,1209.96,204,204,4
Silver,John Henry,770.36,205,205,4
Silver,Tasha Valencia,766.88,206,206,4
Silver,Deborah Roberts,484.47,207,207,4
