customer_id,customer_name,customer_segment,registration_date,total_orders,lifetime_value
76,Renee Brown,Bronze,2021-08-06,17,5015.90
498,Michelle Kaiser,Silver,2023-10-25,17,5012.51
46,David Ryan,Silver,2021-03-14,17,4987.36
47,Lynn Bentley,Silver,2023-03-26,21,4966.36
359,Timothy Sosa,Platinum,2021-02-01,17,4948.18
467,Anthony Wang,Silver,2022-06-05,16,4938.17
247,Holly Jensen,Bronze,2023-11-19,10,4897.64
596,James Barrett,Bronze,2022-08-27,16,4893.84
504,Bryan Williams,Bronze,2023-06-09,21,4876.14
36,Jeremy Craig,Gold,2020-06-24,13,4874.97
291,Kimberly Mora,Silver,2022-05-08,20,4824.49
330,Michael Johnson,Gold,2021-12-18,9,4824.47
56,Scott Nelson,Platinum,2020-07-10,21,4823.74
318,Deborah Best,Silver,2024-10-12,21,4796.13
426,Kathy Harrison,Gold,2024-08-27,22,4763.21
193,Alexandra Meyer,Silver,2024-07-19,19,4761.54
472,Sydney Mcdonald,Silver,2020-07-10,16,4757.61
334,Jennifer Stone,Bronze,2020-02-29,14,4675.19
293,Tyler Ward,Bronze,2021-07-26,18,4543.66
339,Sharon White,Platinum,2024-05-09,19,4462.71
189,Robert Rivera,Bronze,2023-03-21,14,4366.90
181,Amanda Taylor,Bronze,2021-07-08,19,4334.03
129,Alexandria Baker,Platinum,2024-08-28,13,4272.28
470,Brian Martinez,Gold,2021-08-04,19,4265.14
357,Mike Watson,Bronze,2024-03-07,12,4255.63
152,Joshua Colon,Platinum,2024-05-18,16,4252.06
179,Roger Garcia,Silver,2022-01-25,25,4230.68
135,John Murray,Bronze,2023-11-22,21,4216.95
73,Alyssa Sanders,Silver,2022-07-27,20,4210.48
447,Joseph Olson,Silver,2020-11-10,21,4205.22
228,Donna Alvarado,Platinum,2021-04-05,25,4196.57
154,Dawn Coleman,Bronze,2021-05-03,10,4109.75
15,Cassandra Robbins,Gold,2021-04-14,18,4097.46
534,Emily Jacobs,Platinum,2020-01-11,21,4065.95
155,Vanessa Davidson,Silver,2021-03-22,13,4063.44
593,Jeffrey Walsh,Silver,2023-02-12,16,3987.67
485,Jay Johnson,Bronze,2022-07-09,12,3960.24
23,Christopher Hernandez,Silver,2020-11-09,10,3951.76
89,Richard Davis,Platinum,2024-06-18,13,3949.65
486,Juan Fleming,Gold,2022-02-25,19,3909.72
184,Ryan Larsen,Silver,2024-04-05,7,3899.77
429,Alex Browning,Bronze,2024-12-19,11,3821.91
231,Kathy Beard,Bronze,2022-08-25,15,3798.61
26,Amber Cooke,Gold,2023-10-25,14,3792.96
12,Heather Cross,Silver,2023-06-01,13,3781.61
5,Donald Mcgee,Silver,2024-02-03,14,3755.81
51,Daniel Gordon,Gold,2022-04-04,15,3732.37
210,Zachary Marsh,Bronze,2023-05-09,11,3716.19
112,Edward Cuevas,Platinum,2023-09-23,23,3670.48
300,Rachel Adams,Bronze,2021-02-24,11,3600.20
234,Angela Black,Platinum,2021-11-27,18,3582.81
213,Crystal Williams,Bronze,2023-03-26,23,3544.54
544,Eric Walters,Silver,2024-10-08,22,3529.93
574,Jennifer Washington,Silver,2024-04-17,14,3475.41
168,Andrea Gray,Silver,2022-08-10,19,3474.73
483,Michael Jenkins,Bronze,2022-03-27,18,3460.35
488,Brandon Wilson,Gold,2021-01-23,14,3436.18
32,Travis Salas,Platinum,2023-01-09,18,3367.51
351,Samantha Ramos,Silver,2020-02-08,19,3365.50
354,Robert Gonzalez,Gold,2020-12-17,17,3354.15
284,Kyle Griffin,Bronze,2022-08-23,11,3343.73
540,Jennifer Allen,Bronze,2024-09-08,10,3335.24
252,Ryan Lawrence,Silver,2024-04-06,13,3290.96
569,Kimberly Hart,Gold,2023-10-09,10,3286.49
289,Marie Pope,Silver,2024-12-22,21,3269.18
19,April Drake,Bronze,2021-06-26,15,3264.38
420,Amy Meyers,Platinum,2020-05-18,14,3229.14
433,Christopher White,Bronze,2021-07-13,10,3227.66
105,Kayla Friedman,Silver,2022-06-12,17,3169.84
133,Elaine Anderson,Bronze,2024-01-01,12,3169.19
43,Kelly Brooks,Silver,2021-04-16,13,3137.65
132,Katherine Bennett,Silver,2022-09-19,14,3101.54
309,Lee Miller,Silver,2020-08-11,18,3062.15
35,Charles Martin,Bronze,2020-04-28,13,3057.76
444,Kimberly Lopez,Gold,2020-10-19,28,3050.60
493,Jose Spencer,Silver,2021-08-08,12,3041.23
72,Erin Cisneros,Platinum,2021-10-09,11,2975.61
431,Stephanie Hall,Gold,2020-03-15,12,2957.34
269,Shannon Allen,Gold,2024-05-07,15,2903.31
208,Stephen Curry,Bronze,2022-06-18,19,2890.19
460,Jacob Yoder,Silver,2022-01-09,22,2869.77
207,Christine Miller,Gold,2023-05-03,11,2793.03
394,Sierra Wilson,Silver,2024-01-16,14,2776.64
296,Joan Greer,Bronze,2020-05-04,12,2708.23
219,Diane Hudson,Silver,2020-03-16,14,2556.06
215,Todd Kim,Silver,2023-04-13,11,2452.78
119,Ashley Patel,Bronze,2023-10-09,21,2382.81
556,Nathaniel Knight,Bronze,2023-11-14,11,2369.31
500,Kara Smith,Gold,2022-01-18,14,2367.18
253,Charles Smith,Silver,2020-12-06,12,2337.96
588,Donald Horne,Silver,2020-10-13,15,2262.44
98,Jason Lee,Platinum,2024-07-30,13,2261.17
141,Latoya Yu,Gold,2023-01-07,10,2234.31
348,Nicole Smith,Bronze,2020-12-25,10,2196.69
177,Kristie Moore,Gold,2022-07-06,11,2176.03
211,Andrew Compton,Bronze,2023-05-21,12,2152.60
453,Ryan Jackson,Platinum,2023-11-22,10,1960.07
20,Martha Torres,Gold,2021-06-22,11,1939.73
297,Amy Cisneros,Gold,2024-10-02,16,1905.82
402,William Moore,Gold,2023-12-27,9,1856.65
580,Timothy Gonzales,Silver,2022-08-06,8,1846.31
448,Caitlyn Nelson,Gold,2022-06-28,9,1825.26
167,Elizabeth Davidson,Gold,2023-06-15,11,1645.44
337,Isaac Singh,Gold,2020-07-06,5,1534.39
62,Paul King,Platinum,2021-03-21,9,1517.68
58,George Meza,Bronze,2020-04-30,13,1260.96
557,Katie Jordan,Silver,2022-01-22,10,1209.96
6,Tasha Valencia,Silver,2020-06-10,9,1187.32
38,Kathleen Harris,Bronze,2020-12-04,7,1127.80
422,Edward Patterson,Bronze,2023-07-25,5,1043.86
157,Thomas Delacruz,Gold,2024-05-11,6,1043.05
254,Adrian Jimenez,Gold,2021-10-26,7,905.77
598,John Henry,Silver,2022-05-03,6,770.36
376,Deborah Roberts,Silver,2022-12-06,1,484.47
153,Christopher Johnson,Bronze,2021-05-21,6,478.36
